ProcedureName,ParameterName,DataType,DefaultExpression
USP_CheckAnalyseAccess,AnalyseKlasse,varchar(64),NULL
USP_CheckAnalyseAccess,NurGesperrte,bit,0
USP_CheckAnalyseAccess,ResultSetArt,varchar(16),'CONSOLE'
USP_CheckAnalyseAccess,ResultTablesJson,nvarchar(max),NULL
USP_CheckAnalyseAccess,JsonErzeugen,bit,0
USP_CheckAnalyseAccess,Json,nvarchar(max),NULL OUTPUT
USP_CheckAnalyseAccess,PrintMeldungen,bit,1
USP_CheckAnalyseAccess,Hilfe,bit,0
USP_CheckFrameworkCapabilities,DatabaseNames,nvarchar(max),NULL
USP_CheckFrameworkCapabilities,SystemdatenbankenEinbeziehen,bit,0
USP_CheckFrameworkCapabilities,DatabaseNamePattern,nvarchar(4000),NULL
USP_CheckFrameworkCapabilities,HighImpactConfirmed,bit,0
USP_CheckFrameworkCapabilities,AnalyseKlasse,varchar(64),NULL
USP_CheckFrameworkCapabilities,NurNichtVerfuegbar,bit,0
USP_CheckFrameworkCapabilities,MitGruppenpruefung,bit,1
USP_CheckFrameworkCapabilities,ResultSetArt,varchar(16),'CONSOLE'
USP_CheckFrameworkCapabilities,ResultTablesJson,nvarchar(max),NULL
USP_CheckFrameworkCapabilities,JsonErzeugen,bit,0
USP_CheckFrameworkCapabilities,Json,nvarchar(max),NULL OUTPUT
USP_CheckFrameworkCapabilities,PrintMeldungen,bit,1
USP_CheckFrameworkCapabilities,Hilfe,bit,0
USP_PrepareDatabaseCandidates,DatabaseNames,nvarchar(max),NULL
USP_PrepareDatabaseCandidates,SystemdatenbankenEinbeziehen,bit,0
USP_PrepareDatabaseCandidates,DatabaseNamePattern,nvarchar(4000),NULL
USP_PrepareDatabaseCandidates,AnalysisClass,varchar(64),NULL
USP_PrepareDatabaseCandidates,HighImpactConfirmed,bit,0
USP_PrepareDatabaseCandidates,StatusCode,varchar(40),OUTPUT
USP_PrepareDatabaseCandidates,ErrorMessage,nvarchar(2048),OUTPUT
USP_PrepareDatabaseCandidates,CrossDatabaseRequested,bit,OUTPUT
USP_PrepareDatabaseCandidates,CandidateTable,sysname,N'#PrepareDatabaseCandidates_Result'
USP_PrepareDatabaseCandidates,WarningTable,sysname,NULL
USP_PrepareNameFilters,SchemaNames,nvarchar(max),NULL
USP_PrepareNameFilters,ObjectNames,nvarchar(max),NULL
USP_PrepareNameFilters,FullObjectNames,nvarchar(max),NULL
USP_PrepareNameFilters,IndexNames,nvarchar(max),NULL
USP_PrepareNameFilters,StatisticsNames,nvarchar(max),NULL
USP_PrepareNameFilters,ColumnNames,nvarchar(max),NULL
USP_PrepareNameFilters,StatusCode,varchar(40),OUTPUT
USP_PrepareNameFilters,ErrorMessage,nvarchar(2048),OUTPUT
USP_PrepareNameFilters,FilterTable,sysname,N'#PrepareNameFilters_Result'
USP_AnalysisNavigator,Suchbegriff,nvarchar(4000),NULL
USP_AnalysisNavigator,Bereich,varchar(40),NULL
USP_AnalysisNavigator,Scope,varchar(40),NULL
USP_AnalysisNavigator,Navigationsrolle,varchar(24),NULL
USP_AnalysisNavigator,NurInstallierte,bit,0
USP_AnalysisNavigator,MaxZeilen,int,12
USP_AnalysisNavigator,ResultSetArt,varchar(16),'CONSOLE'
USP_AnalysisNavigator,ResultTablesJson,nvarchar(max),NULL
USP_AnalysisNavigator,JsonErzeugen,bit,0
USP_AnalysisNavigator,Json,nvarchar(max),NULL OUTPUT
USP_AnalysisNavigator,PrintMeldungen,bit,1
USP_AnalysisNavigator,Hilfe,bit,0
USP_CurrentSessions,SessionIds,nvarchar(max),NULL
USP_CurrentSessions,EigeneSessionsModus,varchar(16),'ALLE'
USP_CurrentSessions,AktuelleSessionEinbeziehen,bit,0
USP_CurrentSessions,SystemSessionsEinbeziehen,bit,0
USP_CurrentSessions,ToolHintergrundabfragenEinbeziehen,bit,0
USP_CurrentSessions,InaktiveSessionsEinbeziehen,bit,1
USP_CurrentSessions,LoginNames,nvarchar(max),NULL
USP_CurrentSessions,LoginNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,HostNames,nvarchar(max),NULL
USP_CurrentSessions,HostNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,ProgramNames,nvarchar(max),NULL
USP_CurrentSessions,ProgramNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,DatabaseNames,nvarchar(max),NULL
USP_CurrentSessions,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,HighImpactConfirmed,bit,0
USP_CurrentSessions,MitSqlText,bit,0
USP_CurrentSessions,MaxSqlTextZeichen,int,2000
USP_CurrentSessions,MaxZeilen,int,500
USP_CurrentSessions,Sortierung,varchar(32),'CPU'
USP_CurrentSessions,ResultSetArt,varchar(16),'CONSOLE'
